Question,Answer,Explanation
Which one of the following statements is true relating to  sorafenib therapy?,D,"Sorafenib is metabolized in the liver primarily by the CY P3A4 microsomal enzymes. As a result, there are a number of important drug drug interactions with sorafenib therapy. Drugs that inhibit CYP3A4, such as ketoconazole, may re duce the metabolism of sorafenib leading higher drug levels and potentially increased toxicity. Drugs, such as rifampin, phenytoin, phenobarbital, and carbamazepine, increase the metabolism of sorafenib leading to reduced drug lev els and potentially reduced clinical benefit. Seville oranges, grapefruit products, starfruit, and pomelos contain sub stances that inhibit the liver metabolism of sorafenib, which can then lead to increased drug levels and potentially in creased toxicity. Sorafenib is an inhibitor of UGT1A1, and caution must be used when sorafenib is administered with agents that are metabolized by UGT1A1, such as irinotecan. Sorafenib is rapidly absorbed after an oral dose. The general recommendation is to take sorafenib without food at least 1 hour before or 2 hours after eating, as oral bioavailability is affected by food. In particular, foods with a high fat content reduce oral bioavailability by as much as 30%."
"6 g/dL, prothrombin time  is elevated to 18 seconds, and there is no ascites. Over - all, he is determined to have moderate liver impairment  (Child-Pugh class B). Which one of the following state - ments is true?",C,"Grapefruit products, Seville oranges, starfruit, and pomelos should be avoided, as these food products can impair liver metabolism of everolimus, which then leads to increased drug levels. There is a drug drug interaction between St. John’s wort and everolimus where St. John’s wort can in crease everolimus metabolism in the liver, resulting in lower effective drug levels. Food with a high fat content reduces oral bioavailability by up to 20%. Patients are at increased risk for developing opportunistic infections, including fun gal infections, while on everolimus therapy. Metabolism of everolimus occurs mainly in the liver the CYP3A4 enzymes, and elimination of drug is mainly hepatic with excretion in feces. In patients with moderate liver impairment (Child Pugh class B), the everolimus dose should be reduced to 5 mg daily, and in the setting of severe liver impairment (Child Pugh class C), everolimus therapy should not be given."
"A 65-year-old female patient with metastatic HER2- positive disease is being treated with the combination  of capecitabine and trastuzumab. Of note, she has a his - tory of ischemic heart disease, but she has not had any  cardiac symptoms for the past 2 years. She has been on  therapy for 8 months and is tolerating this combination  regimen well with no symptoms. Computed tomogra - phy (CT) scans were just performed, and they confirm  a nice response to therapy. A follow-up multigated ac - quisition scan to assess her cardiac status shows a 20%  reduction in the left ventricular ejection fraction (LVEF)  from a normal baseline. Which one of the following  statements is true?",D,Careful baseline assessment of cardiac function (LVEF) must be done prior to the start of trastuzumab therapy with frequent monitoring (every 2–3 months) while on therapy. Trastuzumab should be held if there is an abso lute reduction in LVEF by greater than 16% from a normal baseline value. Trastuzumab should be stopped immedi ately in any patient who develops clinically significant symptoms of congestive heart failure.
"A patient with metastatic osteogenic sarcoma is about to  start treatment with high-dose methotrexate (MTX). With  respect to the extent of his disease, the patient has multiple  pulmonary nodules, mediastinal lymph node, and a ma - lignant left pleural effusion. He complains of lower back  pain, unrelated to his underlying cancer, which is well  controlled on indomethacin. Which one of the following is  the most appropriate intervention?",D,"MTX is cleared by the kidneys, and the process of renal ex cretion is inhibited in the presence of aspirin, nonsteroidal antiinflammatory agents, penicillins, cephalosporins, and probenecid. MTX distributes in to third space fluid collec tions, such as pleural effusions and ascites, and the fluid collections should be drained prior to the start of MTX, as they can cause a delay in drug clearance. In the presence of these fluid collections, patients may experience increased toxicity. Vigorous intravenous hydration with alkaliniza tion of the urine to a pH of greater than 7.0 is required to prevent precipitation of MTX and MTX polyglutamates in acidic urine, which can then lead to renal failure. The rationale for leucovorin rescue is to protect normal cells from MTX toxicity. Leucovorin should be given until the serum MTX levels are down to 50 nM, and once below that threshold level, leucovorin rescue can be stopped."
Which one of the following statements is true relating to  pertuzumab?,B,"Pertuzumab is a recombinant humanized IgG1 mono clonal antibody direct against the extracellular domain (subdomain II) of the HER2 neu growth factor recep tor. It binds to a different epitope on HER2 neu receptor Cancer Chemotherapy 11 than trastuzumab, which binds to subdomain IV . Binding of pertuzumab to the HER2 neu receptor leads to inhibi tion of heterodimerization of HER2 with other HER fam ily members, including EGFR, HER3, and HER"
A patient with metastatic nonsquamous non-small cell lung  cancer is being treated with pemetrexed and cisplatin. Which  one of the following is the most appropriate treatment option?,D,"Patients who receive pemetrexed based therapy should receive vitamin supplementation with folic acid (350 μg/ day) and vitamin B12 (1000 μg IM every 3 cycles) to reduce the risk and severity of toxicity while on therapy. Steroids have been shown to reduce the development of skin rash, and dexamethasone (4 mg PO bid) can be given for 3 days beginning the day before starting pemetrexed."
"A 45-year-old male patient with metastatic colorectal can - cer is being treated in the second-line setting with FOLFIRI  plus cetuximab. One week after his initial treatment, the  patient presents with a 2-day history of increasing fatigue  and an absolute neutrophil count of 500/ μL. What is the  most likely diagnosis?",C,"DPD deficiency presents with severe toxicity to 5 FU with the classic triad of myelosuppression, GI toxicity, and neu rotoxicity. This patient presents with isolated myelosup pression, which would be unusual for DPD deficiency. Irinotecan is metabolized by UDP glucuronyltransferase, and the process of glucuronidation leads to inactive me tabolites of both irinotecan and SN 38. In patients with the UGT1A1*28 genotype, there is significant reduction in iri notecan and SN 38 glucuronidation, which then leads to increased myelosuppression and/or GI toxicity. Approxi mately 10% of the North American population is homozy gous for this specific genotype."
"A 46-year-old male patient with primary CNS lympho - ma is presently receiving high-dose MTX. He receives  leucovorin rescue according to protocol, and serum  MTX levels are being closely monitored. Which one of  the following best describes when leucovorin rescue can  be safely stopped?",D,"The rationale for leucovorin rescue is to protect normal cells from MTX toxicity. Leucovorin should be given un til the serum MTX levels below 50 nM (5 × 10−8 M), and once below that threshold level, leucovorin rescue can be stopped."
"A patient with non-Hodgkin lymphoma is being treated with  the combination of fludarabine, cyclophosphamide, and  rituximab. Which one of the following statements is true?",D,"Fludarabine is a prodrug, and following administration, it is rapidly dephosphorylated to 2 fluoro ara adenosine. This nucleoside then enters the cells via a nucleoside mediated process, and it is then initially phosphorylated to the monophosphate form and eventually metabolized to the fludarabine triphosphate form, which is the active cytotoxic metabolite. Both fludarabine and cyclophos phamide are renally excreted. In the presence of renal dysfunction, the doses of fludarabine and cyclophospha mide need to be modified. Dose modification of fludara bine is not required in the setting of liver dysfunction. Fludarabine therapy is associated with an increased risk of opportunistic infections, including Pneumocystis cari nii, and patients should be empirically placed on bactrim prophylaxis."
A patient with end-stage renal disease and multiple mye - loma is being treated with single-agent bortezomib. Which  one of the following statements is true?,C,"The multidrug resistance (mdr) gene encodes a P 170 gly coprotein whose function is to cause efflux of drug out of the cell, which results in reduced intracellular accumula tion of drug within the cell. This mechanism is a well es tablished mechanism for a wide range of unrelated classes of drugs, which include anthracyclines, taxanes, campto thecins, and the vinca alkaloids."
"1 mg/dL,  and uric acid less than 4 mg/dL. Which one of the follow - ing is the most appropriate cause of her hyponatremia?",C,"In patients with dehydration and underlying kidney dis ease, the blood urea nitrogen (BUN) and/or creatinine lev els should be elevated. With adrenal insufficiency, patients present with hyponatremia and hyperkalemia. In renal tubular acidosis, the bicarbonate levels are reduced along with an elevation in chloride levels and a reduction in po tassium levels. SIADH presents with hyponatremia and normal potassium, chloride, BUN/creatinine levels. Several anticancer agents are associated with SIADH, including the vinca alkaloids, cyclophosphamide, cisplatin, and melpha lan. While SIADH has been observed with certain tumor types, the most common being small cell lung cancer, Hodg kin lymphoma is not normally associated with SIADH."
A deficiency in thiopurine methyltransferase (TPMT) re - sults in significantly increased toxicity to which one of the  following agents?,C,"A partial or complete deficiency of TPMT results in ex cessive, severe toxicity with myelosuppression, GI toxic ity, and/or neurotoxicity, in response to the thiopurines, 6 mercaptopurine and 6 thioguanine. TPMT is not in volved in the metabolism of other purine analogs, such as nelarabine, cladribine, and fludarabine."
"A 38-year-old male with newly diagnosed metastatic  colorectal cancer is started on mFOLFOX6 plus bevaci - zumab. There was a miscalculation in the chemotherapy  orders, and he was given a 20-fold higher dose of 5-FU in  the 46-hour infusion. Which of the following is the most  appropriate treatment intervention?",D,"The administration of uridine triacetate (vistonuridine), an oral prodrug form of uridine, has been shown to be a safe and effective antidote to 5 FU overdose, and this agent was recently approved by the US Food and Drug Administration. 5 FU cannot be removed by hemodi alysis, and it is not known whether peritoneal dialysis can be used to remove circulating 5 FU. Leucovorin and glucarpidase are two agents that have been used to pre vent and/or rescue against MTX associated toxicities but would not be able to prevent the toxicities of 5 FU."
Which of the following tyrosine kinases are inhibited by  crizotinib?,E,"Crizotinib inhibits the tyrosine kinases associated with c Met, ALK, RON, and ROS1. This agent is now approved in the United States to treat patients with metastatic non small cell lung cancer whose tumors are ALK positive or ROS1 positive."
Which reduced folate is part of the TS ternary complex?,A,"The TS ternary complex is made up of the 5 FU metabolite FdUMP , the reduced folate 5,10 methylenetetrahydrofolate, and the TS enzyme. The role of the reduced folate is to en hance the inhibitory effect of the 5 FU metabolite in inhibi tion of TS. When TS is bound in this ternary complex, TS en zymatic activity is optimally inhibited, leading to inhibition of thymidylate synthesis and subsequent inhibition of DNA biosynthesis. Leucovorin is 5 formyltetrahydrofolate, which is eventually metabolized within the cell to 5,10 methylene tetrahydrofolate."
"According to the “cancer stem cell” hypothesis, which of  the following characteristics does a subpopulation of can - cer cells in a tumor have",D,"The cancer stem cell hypothesis postulates that only a subpopulation of cancer cells can maintain self renewal, proliferation, and specialized differentiation within a heterogeneous tumor. This is in contrast to the clonal evolution hypothesis, that every cell within a neoplas tic mass was capable of these listed traits. Cancer stem cells have characteristic stem cell markers that are not present on other cancer cells within the tumor. These have been described in solid tumors and hematological malignancies."
Which of the following accurately describes the process of  splicing,C,"Splicing refers to the process of removal of the noncoding sequences of DNA to form a continuous chain of exons to eventually undergo translation into protein. This process requires precision as any alteration can result in aberrant protein formation and disease, including cancer."
All of the following are methods to detect single nucleo - tide polymorphisms except:  ,D,"Single nucleotide polymorphisms (SNPs) constitute the most common form of genetic variation in humans. Modern methods in molecular biology have the capability of detect ing a large number of SNPs that exist within the genome. All of the tests listed can detect SNPs, except Western blotting, which is used to detect proteins within the analyzed sample."
Which of the following is the correct sequence of gene ex - pression,A,"Gene expression is a highly regulated process that starts with transcription of mRNA to form a copy of the gene, followed by removal of the noncoding sequences called introns (splicing), and finally translation into proteins. Al ternate splicing can result into translation of multiple iso forms of protein from the same gene.Cancer Biology 3"
Which of the following was the first antiangiogenic agent to  receive regulatory approval for use in patients with cancer,C,"Bevacizumab was first approved for patients with meta static colorectal cancer in combination with chemotherapy. Since then, several other agents have entered the clinic and are used commonly in the management of kidney cancer, non small cell lung cancer, hepatocellular carcinoma, glio blastoma, and others."
Which of the following is/are cellular mechanisms in - volved in the vascularization of tumors,E,"All of the listed mechanisms are involved with the vas cularization of tumors. Initially, tumor cells grow around existing vasculature (co opt) to form cuffs around the mi cro circulation. Intussusception refers to the enlargement of tumor vessels in response to tumor related growth fac tors and the creation of an interstitial tissue column in the enlarged lumen. Expansion of the existing vascular network and proliferation of the endothelial cells to form a “bridge” or “sprout” with subsequent canalization con stitutes the process of sprouting. Finally, mobilization of endothelial precursor cells from the bone marrow by the process of vasculogenesis also contributes to vasculariza tion within tumors."
Which of the following are class effects of antiangiogenic  agents,E,"Hypertension, arterial and venous thrombosis, and myo cardial ischemia can be seen with all available inhibitors of angiogenesis. In addition, proteinuria can be seen with this class of agents as well. Several other side effects are unique to each agent. However, gastrointestinal toxicity is not a commonly reported adverse event from these drugs."
"In the invasion process of cancer metastasis, cells need to  detach themselves from neighboring cells. Which of the  following mediates the function of cell-cell adhesion",A,"E cadherin proteins are responsible for mediated adhesion between cells through protein protein interactions at the cell surface. An alteration of the expression of E cadherin permits disassociation of cells and initiates the process of metastatic invasion. Truncating mutations in the E cadherin gene ( CDH1 ) have been associated with hereditary diffuse gastric cancer, an autosomal dominant familial syndrome."
Which of the following cancers metastasizes primarily via  the transcoelomic route,B,"This pattern of metastasis involving the surface of the peritoneal cavity is most commonly observed with ovar ian cancer. Hematogenous and lymphatic dissemination also occur in ovarian cancer, though less frequently. In the transcoelomic metastatic process, tumor cells first detach from the primary tumor site to enter the peritoneal fluid where they must resist anoikis and immune mediated de struction. This is followed by peritoneal implantation and metastatic growth. If uncontrolled, this is a major cause of morbidity and mortality in ovarian cancer and certain gas trointestinal cancers, such as colon cancer."
Metastases to the brain is common in all of the following  cancers except:  ,C,"Metastasis to the brain is distinctly an uncommon pat tern of spread in prostate cancer where osteoblastic bone metastases are the norm. In all of the other cancers listed, spread to the brain is a major cause of morbidity and mor tality. The etiology of this preferred landing zone for these tumors is not entirely clear."
Which of the following is the correct sequence of events in  cellular division,D,"Cell division is a tightly regulated process. This is initi ated by transition from the G0 (or quiescent) phase to the G1 (first gap) phase. Once the cell crosses the point of “no return” (restriction point), it enters the S (synthesis) phase where chromosome replication takes place. This is followed by the G2 (second gap) phase, and finally mitosis (M phase)."
Which of the following is an example of a protooncogene,C,"MYC is a typical protooncogene and is implicated in the genesis of many cancers, most notably Burkitt lymphoma. All of the others listed are classic tumor suppressor genes."
Which of the following cancers are associated with the   Li-Fraumeni syndrome,E,"The Li Fraumeni syndrome is an autosomal dominant inher ited disorder characterized by mutations in the P53 tumor suppressor gene. In addition to the malignancies listed, leuke mia is also seen with higher frequency in this disorder. Some patients with this syndrome lack P53 mutations. Mutations of CHK2 have been observed in a subset of these patients."
"A knockout mouse model of carcinogenesis is character - ized by all of the following attributes, except:  ",C,"Gain of function mutations are best studied by a transgen ic model of cancer where an oncogene is introduced into the mouse genome to further propagate in a dominant pat tern of inheritance. All of the other answers are traits for a knockout model of cancer, which is ideal to understand recessive genetic disorders."
Which of the following is an incorrect statement regarding  RET  (rearranged during transfection) signaling,E,"RET is a proto oncogene required for normal development of the enteric nervous system and the kidney. Following li gand binding, RET dimerization occurs, resulting in phos phorylation of tyrosine residues and subsequent cellular signaling. Mutations in RET for the molecular basis for the spectrum of MEN type 2 syndromes. This is also seen in spo radic medullary thyroid carcinoma. There are several inhibi tors of RET that are approved in clinical practice, including vandetanib and cabozantinib for medullary thyroid cancer."
Which of the following molecular abnormalities are found  in gastrointestinal stromal tumors (GISTs),E,"All of those listed are correct. The vast majority (85%) of GISTs harbor activating mutations in CKIT or the platelet derived growth factor receptor. In the remaining “wild type” adult GISTs, recent molecular developments have identified low levels of mitochondrial succinate dehydro genase and high expression of insulin like growth factor 1 receptor (IGF1R). Activation of IGF1R eventually leads to increased cellular proliferation through intermediate acti vation of the mitogen activated protein kinase and PI3K AKT mTOR pathways."
What does the process of anoikis refer to,D,"Anoikis refers to apoptotic cell death induced by detachment of the cell from the extracellular matrix (ECM). This is an im portant process in the development of metastasis as tumor cells overcome adverse proapoptotic interactions with the matrix. These cells have to circumvent other adverse features, including immune attack, hypoxia, etc., in order to survive and propagate. This process was first described in 1993–94."
What is the primary function of cyclin-dependent kinases  (CDKs) in the regulation of the cell cycle,B,"CDKs are responsible for the phosphorylation of proteins in various phases of the cell cycle. The retinoblastoma (Rb) gene controls repression of gene transcription, while the chromosome passenger complex and polo like kinases (Plk1 5) control chromosome segregation. The polo like ki nases are also involved in centrosome function along with NIMA related kinases."
Which of the following cells can suppress the antitumor  immune response,D,"There exists a complex interplay between the cancer cell and the tumor microenvironment. Regulatory T cells and MDSCs can inhibit antitumor cytotoxic T cell responses, thus allowing tumor propagation. A high level of MDSCs has been shown to be a negative prognostic indicator in several tumor subtypes."
All of the following cancers are known to have an etiologi - cal association with microbial infection except:  ,B,"All of the cancers listed, except prostate cancer, are associated with an infectious organism. Kaposi’s sarcoma results from infection with human herpes virus 8 (HHV8). Several lym phoproliferative disorders (both B and T cell) are associated with the Epstein Barr virus (EBV). Angioimmunoblastic lym phoma is a peripheral T cell lymphoma where EBV has been identified in the B cells present within the tumor as well as within some of the neoplastic T cells. Gastric carcinoma has been linked to infection with Helicobacter pylori while the Mer kel cell polyomavirus is found in the majority of cases of Mer kel cell carcinoma, a rare but aggressive form of skin cancer."
Which of the following statements accurately describes the  process of “immunoediting”,C,"There exists a dynamic interaction between the cancer cell and the host immune response that results in the shaping of the tumor, both in biology and behavior; this constitutes the hy pothesis of immunoediting and consists of three phases (elim ination, equilibrium, and escape). Recent advances in our understanding of this interaction have enabled pre clinical and clinical development of therapeutic strategies to restore immune control and elicit an antitumor immune response."
Which of the following is an anticytotoxic T-lymphocyte  associated antigen-4 (CTLA-4) antibody,D,"Ipilimumab is the first and only anti CTLA 4 antibody to re ceive regulatory approval in the immune therapy of cancer. All of the other agents listed, either target the programmed death receptor 1 (PD 1; pembrolizumab, nivolumab) or its ligand PD L1 (avelumab, atezolizumab). These agents have received approval in the United States for the management of one or more cancers."
Which of the following are immunological (antigenic) dif - ferences between normal tissues and tumors,E,"All of the tenets listed are typically seen in tumors com pared to normal cells. Genetic instability results in a large number of mutations within exons of tumor cells, result ing in the production of neoantigens. These effects occur more frequently within the intracellular proteins; circulat ing antibodies do not readily recognize the resulting neo antigens. Similarly, epigenetic differences between tumor cells and normal cells results in the overexpression of a large number of genes in the former relative to the latter."
Which of the following cells has the capacity to directly kill  antigen-presenting cells,A,"Cytotoxic CD8+ T cells have T cell receptors (TCRs) that rec ognize antigens on a foreign cell, such as a cancer cell or an infected cell, and initiate the process of destruction of that cell. CD4+ helper T cells play a prominent role in modulat ing the immune response through the secretion of a variety of cytokines. Regulatory T cells and myeloid derived sup pressor cells play important roles in the down regulation of the immune response to pathogens and cancer."
Which of the following statements is true regarding im - mune surveillance,A,"The systematic identification and destruction of tumor cells through the recognition of tumor specific antigens is referred to an immune surveillance. Defects in immune surveillance are purported to result in the development of tumors, so called “progressor” tumors through immune escape or resistance. While inherently it would be assumed that im munodeficient nude mice would have a higher incidence of tumors, this has not proven to be the case, which is likely from a compensatory increase in innate immunity and the production of T cells via pathways that are independent of the thymus. The NKG2D receptor is expressed on NK cells, select T cells, and on subsets of intraepithelial lymphocytes, where it plays a role against invading pathogens in contact with epithelial linings of the gut, the respiratory tract, and the skin, thus being involved with immune surveillance."
On which of the following cells is the CTLA-4 checkpoint  receptor located,D,"The CTLA 4 is an immune checkpoint expressed exclusive ly on several subtypes of T cells including CD4+, CD8+, and T reg cells. It functions as a negative regulator of the im mune response. Inhibition of CTLA 4 by antibodies, such as ipilimumab and tremelimumab, can trigger an immune response with the potential for therapeutic benefit. Ipili mumab is approved for use in patients with advanced un resectable melanoma, and as adjuvant therapy for stage III melanoma, based on the results from phase III trials."
Which of the following immune checkpoint—ligand com - bination is correct,E,"Maintenance of an immunological homeostasis is a closely regulated process with immune checkpoints playing an im portant role. Each of the immune checkpoints listed in the question can inhibit lymphocyte activity. TIM 3 is selective ly expressed on cytokine producing CD4+ helper cells (Th1) and CD8+ cytotoxic T cells and functions to limit responses from these cells, both in duration and extent. Galectin 9 is a ligand for TIM 3. There are two known ligands for PD 1: PD L1 and PD L2. Following ligand binding, PD 1 inhibits T cell activation through several mechanisms. Inhibition of PD 1 activity has been one of the major therapeutic ad vances in cancer immunotherapy in the last decade. LAG 3 (CD223) enhances T reg activity and inhibits CD8+ effector T cell function; MHC class II is the only known ligand for LAG 3. The herpes virus entry mediator (HVEM) is the li gand for B and T lymphocyte attenuator (BTLA); binding can negatively modulate the function of the T cell."
Which of the following statements is accurate regarding  transforming growth factor-beta (TGF- β),D,TGF β is an important cytokine for normal physiological functioning and in pathological states with a variety of ef fects on the microenvironment. Mutations in TGF β can promote the invasive phenotype through the mechanisms outlined. TGF β can effect T reg mediated suppression of CD8 T cell antitumor response. Elevated serum levels of TGF β have been associated with poor prognosis in several cancers.Tumor Immunology 6
"What is the mechanism by which indoleamine-2,3 dioxy - genase (IDO) effects unresponsiveness in T-cells",B,"Within the tumor microenvironment, numerous molecules can blunt the immune response. IDO is one of the rate limiting enzymes of the catabolic pathway of tryptophan causing its depletion. This deficiency of tryptophan inhib its T cell responses by causing an arrest in proliferation. A number of IDO inhibitors are currently under investigation in clinical trials, typically in combination with other im mune checkpoint inhibitors, in an attempt to restore and enhance the antitumor response."
"A 60-year-old male with metastatic BRAF V600E mutant  melanoma is treated with dabrafenib plus trametinib. He  tolerates treatment well with intermittent mild fevers and  fatigue. On restaging scans, he has a deep partial response  with reduction in disease burden in the lungs and liver. Lyt - ic bone areas remain stable. His blood work shows a hemo - globin of 9, which is stable from his baseline. There are no  other significant abnormalities on the complete blood count  (CBC) or comprehensive metabolic panel. Four weeks later  on treatment, he develops swelling in his legs, mild dysp - nea on exertion, and more fatigue but is still active. He has  no chest pain. Blood work, including CBC and compre - hensive metabolic panel, are similar to his last visit. What  would you recommend for the management in this patient",C,"Hold trametinib and order an echocardiogram. Past stud ies of MEK inhibitors have reported infrequent but po tentially serious events of cardiomyopathy, left ventricu lar dysfunction, and decreased ejection fraction. In the COMBI d phase III study of dabrafenib plus trametinib, decreased ejection fraction was reported in 4% of patients on the combination. In a patient with signs of heart failure, trametinib should be held and an echocardiogram would be most appropriate."
"5 cm at the left lower lung. No other areas of meta - static disease were identified. Labs were normal including  the lactate dehydrogenase (LDH) level. Biopsy of the left  lower lung lesion confirmed metastatic melanoma. BRAF  testing on the tumor specimen identified a BRAF V600E  mutation. Treatment options were reviewed, and the pa - tient chose to pursue BRAF-targeted therapy based on the  recent data showing improved outcomes in patients with  low disease burden and normal LDH. Her oncologist gets  approval for vemurafenib plus cobimetinib and brings her  back to clinic to start treatment and review a magnetic res - onance imaging (MRI) of the brain to complete her staging  workup. The MRI shows a 2-mm lesion in the left frontal  cortex that is a possible metastasis, but there is no prior  comparison. The patient wants to start vemurafenib plus  cobimetinib today. What would be the most appropriate  recommendation",A,"Proceed with vemurafenib plus cobimetinib and repeat MRI in a short interval. In this patient, a new small brain lesion is identified, which could be an early brain metastasis. Prior phase II studies of vemurafenib and dabrafenib have dem onstrated objective responses in active brain metastases in patients with metastatic BRAF V600E/K mutant melanoma. Immunotherapy and Pathway Inhibitors 16 There is also direct evidence that BRAF agents do penetrate the blood brain barrier, which is based on cerebrospinal flu id testing. Therefore, in an asymptomatic patient, it would be reasonable to proceed with BRAF targeted therapy and monitor the brain lesion on serial imaging studies. Further more, if the brain lesion did eventually increase in size, this would provide more certainty that it is a brain metastasis, and a radiation oncologist or neurosurgeon should offer definitive treatment. There is no clear data indicating that one BRAF plus MEK inhibitor combination is superior to another."
